2,,Name,Number,State,RegisteredDate
84,,AMIN AVENUE MAPLE COOPERATIVE SOCIETY,CS00022020,Registered,22-Jul-2020
85,,STAFF COOPERATIVE OF HOUSING DEVELOPMENT CORPORATION,CS00012021,Registered,03-Jan-2021
86,,TWELVE RESIDENCE COOPERATIVE SOCIETY,CS00032020,Registered,08-Dec-2020
87,,UNGOOFAARU COOPERATIVE SOCIETY,CS00022021,Registered,14-Jan-2021
88,,SOUTH COOPERATIVE SOCIETY,CS00032021,Registered,29-Apr-2021
89,,POLICE COOPERATIVE SOCIETY,CS00042021,Registered,27-Jun-2021
90,,HULHUDHUFFAARU ANHENNUNGE THARAHGEEAH MASSAIKAIKURAA COOPERATIVE SOCIETY,CS00052021,Registered,29-Sep-2021
91,,DHUVAAFARU COOPERATIVE SOCIETY,CS-0003/2013,Registered,01-Apr-2013
92,,KINBIDHOO T.V COOPERATIVE SOCIETY,CS-0006/2013,Registered,19-Jun-2013
93,,HA. DHIDHDHOO VIYANAFAA COOPERATIVE,CS00022022,Registered,12-May-2022
94,,FUNADHOO FARMERS,CS00032022,Registered,31-May-2022
95,,One Avenue Condominium Cooperative Society,CS00042022,Registered,29-Nov-2022
96,,KINBIDHOO ZUVAANUNGE GULHUN COOPERATIVE SOCIETY,CS-0004/2013,Registered,22-Apr-2013
97,,HULHUDHOO ADDU COORPERATIVE SOCEITY,CS-0002/2014,Registered,08-May-2014
98,,NAIFARU COOPERATIVE SOCIETY,CS-0001/2015,Registered,16-Feb-2015
99,,NEW SILVER BEACH COOPERATIVE SOCIETY,CS-0002/2015,Registered,09-Mar-2015
100,,FOAKAIDHOO COOPERATIVE SOCIETY,CS-0003/2015,Registered,30-Mar-2015
101,,RINBUDHOO DEVELOPMENT COOPERATIVE SOCIETY,CS-0004/2015,Registered,22-Apr-2015
102,,SIFAINGE CO-OPERATIVE,CS-0002/2009,Registered,24-Mar-2009
103,,LAAMU FARMERS DEVELOPMENT COOPERATIVE SOCIETY,CS-0006/2015,Registered,29-Jul-2015
104,,UNITY STARS COOPERATIVE SOCIETY,CS-0007/2015,Registered,25-Nov-2015
105,,CUSTOMS COOPERATIVE SOCIETY,CS-0002/2016,Registered,28-Feb-2016
106,,JUVENILE COOPERATIVE SOCIETY,CS-0005/2016,Registered,04-May-2016
107,,THODDOO BRIGHT COOPERATIVE SOCIETY,CS-0009/2016,Registered,14-Aug-2016
