2,,Name,Number,ManagingPartner,State,RegisteredDate
556,,I & R CONSTRUCTION,P-0145/2017,IBRAHIM NASHEED MOHAMED,Registered,04-Dec-2017
557,,HOARA EXPRESS,P-0147/2017,AHMED MAANIU,Registered,05-Dec-2017
558,,ZAM INVESTMENT,P-0148/2017,HASSAN MAMDHOOH,Registered,06-Dec-2017
559,,ZST,P-0149/2017,ABDULLA ZIYAD,Registered,06-Dec-2017
560,,ANTI DOTE,P-0150/2017,AHMED AIMAN,Registered,10-Dec-2017
561,,ZIRCON,P-0151/2017,SUHAIL MOHAMED,Registered,11-Dec-2017
562,,WAADHEE INN VASHAFARU,P-0152/2017,AHMED GHAALIB,Registered,11-Dec-2017
563,,ALAKA INVESTMENT PARTNERS,P-0153/2017,IBRAHIM WAHEED,Registered,12-Dec-2017
564,,RARE RAYS IN MALDIVES,P-0154/2017,INAZ ABDUL WAHID,Registered,14-Dec-2017
565,,BLOOD ORANGE,P-0161/2017,AHMED SHAFFAQ,Registered,25-Dec-2017
566,,KASHIMAA FISHING,P-0155/2017,SAAHATH HASSAN,Registered,14-Dec-2017
567,,TOTAL TRANSPORT & LOGISTICS,P-0156/2017,ALI SAMEEH,Registered,18-Dec-2017
568,,FOOD BUG,P-0157/2017,HIDHAAYATHULLA,Registered,19-Dec-2017
569,,MADUVELY,P-0164/2017,HASSAN ZAKI,Registered,26-Dec-2017
570,,LENSFUL,P-0158/2017,HUSSAIN RIYAZ,Registered,19-Dec-2017
571,,CRYSTAL AQUA PARTNERS,P-0159/2017,Hassan Fareed,Registered,21-Dec-2017
572,,FOUR SPEAR INVESTMENT,P-0162/2017,MOHAMED YASEEN,Registered,25-Dec-2017
573,,N SPORTS,P-0160/2017,NEESHA HALEEM,Registered,24-Dec-2017
574,,MACRO ASSURANCE,P-0165/2017,HAWWA FAJUWA,Registered,27-Dec-2017
575,,FINE COLORS,P00012018,JANA FARUHEEN,Registered,02-Jan-2018
576,,PEPPERS TAKEAWAY AND DELIVERY,P00022018,ALI FARIS MOHAMED,Registered,04-Jan-2018
577,,NATURAL COOL,P00032018,MOHAMED SHAREEF,Registered,09-Jan-2018
578,,PRINT ASSOCIATES,P00042018,AHMED ZAHEEN,Registered,09-Jan-2018
579,,NORTH CRYSTAL,P00062018,SUHAIL MOHAMED,Registered,11-Jan-2018
580,,ISI HOLDINGS,P00052018,HUSSAIN SAAMEE,Registered,10-Jan-2018
581,,BOAVAA PARTNERS,P00072018,GUSAYYU ABDULLA,Registered,14-Jan-2018
582,,RAABE AND SAPPE BROTHERS,P00082018,ADAM RASHID,Registered,15-Jan-2018
583,,UN INVESTMENT,P00092018,ABDULLA UNAIS,Registered,17-Jan-2018
584,,FAHUMINET,P00292018,ABDULLA ASHRAF,Registered,11-Feb-2018
585,,NOSTRO,P00122018,Mushthaq Ibrahim,Registered,18-Jan-2018
586,,FIVE ELEMENTS,P00102018,HUSSAIN RIYAZ,Registered,18-Jan-2018
587,,IBZUL INVESTMENT,P00142018,ZULFEEN ABDULLA,Registered,22-Jan-2018
588,,THE LEGAL CARE,P00902018,IBRAHIM RAMEEZ,Registered,30-Apr-2018
589,,DHANGETHI ACADEMY,P00132018,ISAM ADAM,Registered,21-Jan-2018
590,,SEA SUN EXCURSION SERVICE,P00152018,ABDULLA HAMEED,Registered,23-Jan-2018
591,,D.D.F INVESTMENT,P00182018,MOHAMED AHMED,Registered,24-Jan-2018
592,,DESARROLLO,P00172018,AHMED MIGDHAADH,Registered,24-Jan-2018
593,,RETRO INVESTMENT,P00192018,ALI KHALEEL,Registered,28-Jan-2018
594,,N.R HOTELS,P00202018,MOOSA NIZAR IBRAHIM,Registered,31-Jan-2018
595,,OBI EXPRESS,P00212018,MOHAMED RASHEED,Registered,01-Feb-2018
596,,N.L MART,P00352018,ISMAIL ZAREER,Registered,20-Feb-2018
597,,COINBOX,P00272018,ALI RASHEED,Registered,07-Feb-2018
598,,EXCESS SUPPLIES,P00252018,ISMAIL AMIR,Registered,07-Feb-2018
599,,SPARK HUB,P00242018,Hussain Jinanu,Registered,07-Feb-2018
600,,ECOSTONE,P00312018,IBRAHIM NIYAZ,Registered,11-Feb-2018
601,,FOREVER SENSE,P00262018,AMINATH ABDULLA,Registered,07-Feb-2018
602,,EIMS SOLUTIONS,P00222018,HUSSAIN SHIMHAAD,Registered,05-Feb-2018
603,,RAIMIN,P00232018,ALI MUHAIMIN,Registered,06-Feb-2018
604,,MAHIRAALHU LLP,P00282018,Ibrahim Mushrif,Registered,08-Feb-2018
605,,THREE IN-LAWS,P00322018,IMTHIYAAZ ALI,Registered,11-Feb-2018
606,,CAMELLIA INVESTMENT,P00332018,MOHAMED NIHAN NASEER,Registered,12-Feb-2018
607,,CARBON PARTNERS,P00342018,HUSSAIN JAWAD,Registered,13-Feb-2018
608,,NMK MALDIVES,P00552018,NIUSHAAD SAEED,Registered,20-Mar-2018
609,,F & N INVESTMENTS,P00362018,ABDULLA NAZIH,Registered,21-Feb-2018
610,,SKIP N SMILE,P00382018,AHMED AZIM,Registered,26-Feb-2018
611,,MIHMAH,P00372018,IBRAHIM AFZAL,Registered,25-Feb-2018
612,,SHUNANA & CO.,P00392018,Mariyam Shunana,Registered,28-Feb-2018
613,,FALAK FILL INVESTMENT,P00402018,INAYATH HASSAN,Registered,01-Mar-2018
614,,JUST INVESTMENT,P00412018,AHMED MOHAMED,Registered,06-Mar-2018
615,,FATHUN & AYU INVESTMENTS,P00422018,AHMED ASHRAF,Registered,07-Mar-2018
616,,A & R CONSTRUCTIONS,P00442018,FATHIMATH RISHFA MOHAMED,Registered,07-Mar-2018
617,,PROBUILD SOLUTIONS,P00432018,FATHIMATH NAZNEEN,Registered,07-Mar-2018
618,,ZEDEN PARTNERS,P00462018,ADAM NADHEEM,Registered,08-Mar-2018
619,,CORNER CHOICE,P00452018,MOHAMED SHAHUREED,Registered,08-Mar-2018
620,,HUVADHOO TRAVELS AND SUPPORT SERVICES,P00482018,AHMED AZLEEN,Registered,12-Mar-2018
621,,EQUAL TRADING,P00512018,AHMED RIYAZ,Registered,14-Mar-2018
622,,AYYABEY PARTNERS,P00502018,ISMAIL ADIL,Registered,13-Mar-2018
623,,FILAA FIHAARA PARTNERS,P00492018,NADEEM MOHAMED,Registered,13-Mar-2018
624,,NALAMOCO MALDIVES,P00522018,NAIF MOHAMED,Registered,15-Mar-2018
625,,M & A MALIK INVESTMENT,P00532018,SAYYID MOOSA,Registered,15-Mar-2018
626,,T-BONE CAFE',P00542018,MOHAMED HYSHAM LATHEEF,Registered,19-Mar-2018
627,,TIKAANA BROS,P00582018,MOHAMED ASRAR,Registered,21-Mar-2018
628,,FASHION COLLECTION,P00592018,Fathimath Shafa,Registered,21-Mar-2018
629,,MARLS,P00562018,HASSAN SHUJAU,Registered,21-Mar-2018
630,,EUPHEUS,P00572018,Ahmed Umair Mohamed Shakir,Registered,21-Mar-2018
631,,EA PARTNERSHIP,P00752018,ABDULLA ISMAIL,Registered,08-Apr-2018
632,,CLASIKO,P00612018,AHMED SHAHEER,Registered,02-Apr-2018
633,,MUHAAMEEN CHAMBERS,P00692018,AHMED SIMAH,Registered,04-Apr-2018
634,,SCARF MALDIVES,P00632018,AZIM HUSSAIN,Registered,03-Apr-2018
635,,LEGACY WOOD,P00652018,MUHAIMIN HUSSAIN,Registered,03-Apr-2018
636,,ROSA BOUTIQUE,P00662018,AISHAT SHAFAG,Registered,03-Apr-2018
637,,ORANGE PHARMACY,P00642018,ABDULLA NASEEM,Registered,03-Apr-2018
638,,ONI STUDIO,P00682018,HUSSAIN FAZEEL,Registered,04-Apr-2018
639,,MALDIVES CONSULTING GROUP,P00702018,ABDUL GHAFOOR MOHAMED,Registered,04-Apr-2018
640,,U 2 J ACADEMY,P00712018,YOOSUF ABDUL RAHEEM,Registered,05-Apr-2018
641,,THE MIX,P00672018,ADIL AHMED,Registered,03-Apr-2018
642,,B-FITT,P00732018,ABDULLA ZAHIR,Registered,05-Apr-2018
643,,PAPER CLOUD,P00742018,ALI SHINAN,Registered,08-Apr-2018
644,,BIZ GREEN,P00762018,MOHAMED SHAHID,Registered,09-Apr-2018
645,,SOUTHERN PARTNERSHIP,P00972018,HASSAN HUSSAIN,Registered,08-May-2018
646,,MAZLAN & MURAD CORPORATE SERVICES,P00772018,AHMED MURAD,Registered,16-Apr-2018
647,,OCEAN RIDER,P00812018,ILYAS MOHAMED,Registered,23-Apr-2018
648,,VITA BLUE,P00802018,AISHATH ISHANA,Registered,23-Apr-2018
649,,SKYLARK CORPORATE,P00822018,Ibrahim Ishan,Registered,23-Apr-2018
650,,COSIBELLO PARTNERS,P00782018,Shazuleena Ibrahim,Registered,22-Apr-2018
651,,RAPID FUEL,P00792018,MOHAMED ADHUHAM,Registered,23-Apr-2018
652,,F & R HOLDINGS,P00832018,IBRAHIM FAISAL,Registered,24-Apr-2018
653,,CHECKERS PARTNERS,P00852018,ALI RAZEE,Registered,25-Apr-2018
654,,RED CARPET,P00842018,MOHAMED SAEED,Registered,25-Apr-2018
655,,DELUXE ENGINEERING TECHNOLOGY,P00892018,RAUDHA IBRAHIM,Registered,26-Apr-2018
656,,PATRONUS LAW FIRM,P00882018,ALI RASHEED,Registered,26-Apr-2018
657,,RELAXIS MALDIVES,P01032018,IBRAHIM ASSAD,Registered,20-May-2018
658,,MINUTE CONSTRUCTION,P00872018,Mohamed Ahmed,Registered,26-Apr-2018
659,,HIGHWAY COFFEE SHOP,P00862018,HASSAN SHAAM,Registered,25-Apr-2018
660,,SIL V,P00942018,MOHAMED JAZLAAN,Registered,03-May-2018
661,,ISLANDNEWS,P00932018,AHMED LATHEEF,Registered,03-May-2018
662,,INMA MALDIVES,P00952018,AMEEN AHMED,Registered,07-May-2018
663,,TRIPLE MIM,P00992018,MOHAMED IMRAN,Registered,15-May-2018
664,,NAARES HILIHILAA,P01042018,IBRAHIM SHAHID,Registered,20-May-2018
665,,SSCO LAW,P00982018,MARYAM MANAL SHIHAB,Registered,13-May-2018
666,,V.F.T,P01012018,SHAREEF IBRAHIM,Registered,15-May-2018
667,,MUJUMARAA,P01002018,AHMED RIMAZ,Registered,15-May-2018
668,,H & ASSOCIATES,P01022018,IBRAHIM HAFIZ,Registered,20-May-2018
669,,KIDS HAIR CLUB,P01062018,MOHAMED RASHEED,Registered,21-May-2018
670,,A&E SOLUTIONS,P01052018,IBRAHIM EVAN NASEEM,Registered,20-May-2018
671,,MUGOO PARTNERS,P01072018,GASIM MOHAMED,Registered,27-May-2018
672,,SOLO MIO INVESTMENT,P01082018,IBRAHIM NASEER,Registered,29-May-2018
673,,INGENIOUS IDEAS,P01112018,YAMEEN IDREES,Registered,06-Jun-2018
674,,DOUBLE N,P01102018,IBRAHIM NAZEEH,Registered,05-Jun-2018
675,,ANGELS BOUTIQUE,P01122018,ASMA,Registered,06-Jun-2018
676,,MEDIA GATE,P01142018,FATHIMATH AZWA ISMAIL,Registered,10-Jun-2018
677,,THRONA,P01152018,IBRAHIM ZIHUNEE,Registered,13-Jun-2018
678,,ECAVO,P01162018,AFRAH ALI,Registered,18-Jun-2018
679,,GALAO,P01172018,Aminath Abdul Latheef,Registered,20-Jun-2018
680,,ALTERNATIVA SUPPLIES,P01182018,AHMADH NADHEEM,Registered,25-Jun-2018
681,,KAMANA - X,P01192018,HAMDHULLA ADAM SAEED,Registered,28-Jun-2018
682,,RIZA & CO,P01202018,HAWWA SHAFEEA RIZA,Registered,01-Jul-2018
683,,EXPRO MALDIVES & ASSOCIATES,P01222018,FAISAL MOHAMED,Registered,02-Jul-2018
684,,EDWARD AND CHRISTIE,P01212018,EDWARD AND CHRISTIE,Registered,01-Jul-2018
685,,GREEN HABIT,P01242018,Hassan Mubuthasim Latheef,Registered,09-Jul-2018
686,,CST ADVISORY,P01232018,Mohamed Hameed,Registered,08-Jul-2018
687,,MINIMO,P01252018,HASSAN AZIM,Registered,09-Jul-2018
688,,YOUPICK,P01282018,AHMED ASHWEEN ADAM,Registered,12-Jul-2018
689,,MAIS MALDIVES,P01262018,Ahmed Mubarik,Registered,12-Jul-2018
690,,PORCUPINE,P01302018,Ali Aboobakuru,Registered,19-Jul-2018
691,,THE PARCEL PARTNERSHIP,P01292018,MOHAMED RIZWEEN,Registered,18-Jul-2018
692,,RITROVO PARTNERS,P01312018,Inayathulla Abdul Sattar,Registered,19-Jul-2018
693,,ISLANDERS INVESTMENT,P01322018,SOFWAAN MOHAMED,Registered,22-Jul-2018
694,,KRABBELAR,P01332018,AHMED ZIYAAN ABDUL RAHMAN,Registered,31-Jul-2018
695,,HEY SUGAR,P01342018,Mariyam Yaasa Shareef,Registered,05-Aug-2018
696,,TWIN HERONS,P01352018,AHMED RASHEED,Registered,09-Aug-2018
697,,SIGNATURE HOME,P01392018,FATHIMATH SHAAMALY JAUFAR,Registered,15-Aug-2018
698,,NUVILU,P01372018,AHMED - ADHLY,Registered,15-Aug-2018
699,,VICTOR INVESTMENT,P01362018,NAHID HASSAN,Registered,14-Aug-2018
700,,OCEAN VICTORY,P01382018,ABDUL SAMAD ALI,Registered,15-Aug-2018
701,,BOSCO,P01402018,ISHAAQ MUEEN,Registered,16-Aug-2018
702,,NINE STAR MART,P01412018,HASSAN HAMEED,Registered,29-Aug-2018
703,,FANTASY FOUR,P01422018,HASSAN SHAFEEQ,Registered,02-Sep-2018
704,,BEYYAA APPAREL,P01452018,AHMED HASHMATH,Registered,06-Sep-2018
705,,GABO INVESTMENTS PARTNERS,P01442018,ABDUL GAFOOR,Registered,06-Sep-2018
706,,N.A.I.S PARTNERS,P01482018,Ahmed Inaad,Registered,12-Sep-2018
707,,SEIKO INVESTMENTS,P01462018,IBRAHIM FAZEEL,Registered,10-Sep-2018
708,,GETAHERO,P01472018,ALI MADEEH,Registered,12-Sep-2018
709,,BUNVARU FITNESS,P01502018,YOOSUF RIYAAZ,Registered,16-Sep-2018
710,,ORCHID TRUST,P01512018,IBRAHIM NASEER MOHAMED,Registered,19-Sep-2018
711,,SHAVIYANI SOLUTIONS,P01522018,ABDULLA SHIFAU,Registered,27-Sep-2018
712,,SUPER BRIX,P01532018,ALI AFRAH MOHAMED,Registered,03-Oct-2018
713,,BITES N BLENDS,P01542018,FATHIMATH ZAKI,Registered,07-Oct-2018
714,,MAGSADHU INVESTMENT,P01552018,MOHAMED SAEED,Registered,08-Oct-2018
715,,GROW ME INVESTMENT,P01562018,MOHAMED FAYAZ,Registered,09-Oct-2018
716,,VORA,P01582018,ALI SHAMEEM,Registered,15-Oct-2018
717,,CORE DATA,P01572018,IBRAHIM NASHWAN MOHAMED SHAHID,Registered,14-Oct-2018
718,,MUAYA AND SIS,P01592018,MUAMILATH MOHAMED,Registered,17-Oct-2018
719,,ADDU SEA QUEST,P01612018,IBRAHIM FIYAZ,Registered,25-Oct-2018
720,,Y N PARTNERS,P01602018,HINDH HABEEB,Registered,24-Oct-2018
721,,PRINTECH MALDIVES,P01642018,AHMED JUNAIHU ZAHIR,Registered,30-Oct-2018
722,,A.Y.S.ADDU,P01652018,ALI SAEED,Registered,30-Oct-2018
723,,MB-MARINE,P01622018,MOOSA RAMEEZ,Registered,29-Oct-2018
724,,AM WAREHOUSE,P01632018,AHMED MISBAH,Registered,29-Oct-2018
725,,REBUS,P01662018,HASSAN SHIYAM,Registered,01-Nov-2018
726,,CLUB RAAKANI BEACH,P01672018,MUSTHAFA HASSAN,Registered,05-Nov-2018
727,,DIGICLOUD,P01682018,AHMED AMIR,Registered,05-Nov-2018
728,,IFAN INVESTMENT,P01692018,IBRAHIM FAZEEL,Registered,06-Nov-2018
729,,LIFE CHANGING BUSINESS PARTNERS,P01702018,MARIYAM NIZAMA,Registered,07-Nov-2018
730,,SAAFU HAKATHA,P01712018,ABDUL MATHEEN MOHAMED,Registered,12-Nov-2018
731,,ERILINE INVESTMENTS,P01722018,MUNSHIU ABDUL HAADY,Registered,13-Nov-2018
732,,NSB,P01842018,ALI NAZIM,Registered,12-Dec-2018
733,,ATIIX,P01732018,Athif Ali,Registered,15-Nov-2018
734,,LEXAVY CHAMBERS,P01762018,NOORUL SALAM ABOOBAKUR,Registered,22-Nov-2018
735,,MARS INVESTMENTS,P01752018,MOHAMED SHIRHAN,Registered,19-Nov-2018
736,,W.J.R. ASSOCIATES,P01742018,Ahmed Hisham Wajeeh,Registered,19-Nov-2018
737,,MYSTERY BOX,P01782018,ISMAIL NADEEM,Registered,27-Nov-2018
738,,TRIPLE A MALDIVES,P01772018,ALI MOHAMED,Registered,26-Nov-2018
739,,LYONORA,P01792018,AHMED FAZHEEL,Registered,29-Nov-2018
740,,HEVAA ONLINE,P01812018,AHMED SHIFAN IBRAHIM,Registered,06-Dec-2018
741,,FOUR AND ONE INVESTMENTS,P01802018,Muhammadh Mufeedh,Registered,06-Dec-2018
742,,TOWN FAB,P01832018,AHMED HILMY,Registered,11-Dec-2018
743,,TIC TAC INVESTMENT,P01852018,MOHAMED ASLAM,Registered,12-Dec-2018
744,,SMAZ,P01862018,Mumthaz Ibrahim,Registered,13-Dec-2018
745,,SOLASTA HOLDINGS,P01882018,SINAH HANEEF,Registered,18-Dec-2018
746,,ASHEKKA,P01892018,GASIM IBRAHIM,Registered,19-Dec-2018
747,,REO INTERNATIONAL,P01902018,SHEERAZ RASHID,Registered,19-Dec-2018
748,,SRLC PARTNERS,P00012019,IBRAHIM SALEEM,Registered,03-Jan-2019
749,,HIRAF,P01922018,MOHAMED NADEEM,Registered,20-Dec-2018
750,,TRIPLE SHELLS,P01912018,MARIYAM NUHA,Registered,20-Dec-2018
751,,VIKING STORGS,P01942018,SHAMMOON MOHAMED,Registered,24-Dec-2018
752,,STREXO MALDIVES,P01932018,MARIYAM MOHAMED,Registered,23-Dec-2018
753,,MEGA FASHION HOLDINGS,P01962018,MOHAMED MOOMIN,Registered,31-Dec-2018
754,,FRISK,P00032019,AHMED AZEEL,Registered,07-Jan-2019
755,,EXIMUS ADVISORY,P00022019,ALI SHUJAU,Registered,07-Jan-2019
756,,1860'S MALDIVES,P00052019,WONG CHEUK FAI,Registered,09-Jan-2019
757,,ONIT,P00072019,ABDULLA HABEEB,Registered,13-Jan-2019
758,,CLOVE,P00042019,SAFHAN MOHAMED,Registered,09-Jan-2019
759,,VIA A-Z,P00062019,Ahmed Zaair,Registered,09-Jan-2019
760,,CRAFTEXPERTS,P00092019,JAUFAR EASA MOHAMED,Registered,16-Jan-2019
761,,FIZAN & PARTNERS,P00082019,MOHAMED FIZAN,Registered,13-Jan-2019
762,,COCONET SERVICES,P00112019,AHMED ALI,Registered,17-Jan-2019
763,,THORUFI HAIR ART & LOCKS,P00102019,YASIR HASSAN,Registered,17-Jan-2019
764,,ILIFATHI 2,P00122019,MOHAMED AULAM,Registered,22-Jan-2019
765,,KUH NAARU FILMS,P00152019,AHMED HISHAM SAEED,Registered,27-Jan-2019
766,,FUVAHMULAH INVESTMENT,P00272019,MARIYAM MOOSA DIDI,Registered,24-Feb-2019
767,,ATOLL SOFTWARE,P00132019,Shaffaaf Ahmed,Registered,24-Jan-2019
768,,ELKASAS,P00142019,ALI SHAREEF,Registered,27-Jan-2019
769,,STUDIO SURUMUTHI,P00162019,MOHAMED SATHOM ABDULLAH,Registered,30-Jan-2019
770,,HANDY COLD STORAGE FACILITIES,P00172019,ALI FARIS MOHAMED,Registered,04-Feb-2019
771,,MERLOT INVESTMENT,P00192019,IBRAHIM RIFAAHU AHMED,Registered,05-Feb-2019
772,,HUSSAIN & NIZAR LAW ASSOCIATES,P00202019,HUSSAIN SHAREEF,Registered,06-Feb-2019
773,,KITCHEN 4/20,P00212019,IBRAHIM AKSAM ALI,Registered,10-Feb-2019
774,,OEVARU GALLERY,P00232019,MARIYAM MINHA JAMEEL,Registered,12-Feb-2019
775,,COSMOS CONSULTING GROUP,P00242019,ILYAS HANEEF,Registered,17-Feb-2019
776,,JAZEERAT ALMALDIFI,P00252019,AMEEN AHMED,Registered,21-Feb-2019
777,,ADAVARU MALDIVES,P00282019,ISMAIL HASSAN,Registered,24-Feb-2019
778,,AIWA MALDIVES,P00262019,AHMED SOBAH,Registered,24-Feb-2019
779,,CRAFTS & CREATIONS MALDIVES,P00302019,NAILA IBRAHIM MOHAMED DIDI,Registered,27-Feb-2019
780,,AGOSTO MALDIVES,P00362019,AHMED AYAS,Registered,11-Mar-2019
781,,GRAND STONE INVESTMENT,P00312019,MOHAMED RIFFATH,Registered,03-Mar-2019
782,,MAKSAB FEHUN,P00322019,MINNA NAFIZ,Registered,05-Mar-2019
783,,CHINESE DRAGON RESTAURANT,P00332019,MOHAMED NISHAM,Registered,05-Mar-2019
784,,CARTA TRADE,P00342019,MIUSAM ABBAS,Registered,06-Mar-2019
785,,BRIGHT VIEW,P00352019,Azumath,Registered,11-Mar-2019
786,,FAZA LEISURE MALDIVES,P00372019,IBRAHIM SHAREEF,Registered,13-Mar-2019
787,,SS PARTNERS,P00382019,HUSSAIN NASHEED,Registered,18-Mar-2019
788,,ALIF-HAA,P00392019,UMAR MOOSA FIKRY,Registered,19-Mar-2019
789,,SOLID INVESTMENTS MALDIVES,P00402019,Abdulla Nishaadh,Registered,21-Mar-2019
790,,NEW ORIGIN,P00412019,Mohamed Sinan Haadi,Registered,24-Mar-2019
791,,ENERGREEN MALDIVES,P00462019,HASSAN AHMED MANIK,Registered,02-Apr-2019
792,,MAREENAZ TAILORS,P00432019,MAREENA MOHAMED,Registered,01-Apr-2019
793,,LEGIT CONSULTANTS,P00452019,Zulaikha Ibrahim,Registered,02-Apr-2019
794,,USMAAN CAFE,P00442019,ABDULLA MOHAMED,Registered,02-Apr-2019
795,,FUTURE MART,P00482019,ABDULLA ASWADH,Registered,08-Apr-2019
796,,HOLIDAY INN VEYVAH MALDIVES,P00472019,Nadeem Abdul Majeed,Registered,04-Apr-2019
797,,BILIMAQ MART,P00492019,MOHAMED ASIM,Registered,11-Apr-2019
798,,HIZBA,P00532019,AHMED SHAFY,Registered,18-Apr-2019
799,,BRIGHT CORE MALDIVES,P00542019,AHMED ASHRAF,Registered,18-Apr-2019
800,,QVL ADVISORY,P00502019,AHMED SALAH,Registered,14-Apr-2019
801,,CANE CABANA,P00512019,MASOOD IBRAHIM,Registered,16-Apr-2019
802,,SILVER POINT MALDIVES,P00522019,MOHAMED NABAAH KHALID,Registered,16-Apr-2019
803,,SR PARTNERSHIP,P00562019,Hussain Riyaz,Registered,21-Apr-2019
804,,AQUA CANVAS,P00552019,ABBAS SHAREEF,Registered,21-Apr-2019
805,,MEGAZONE,P00572019,IBRAHIM ASSAD,Registered,23-Apr-2019
806,,MALDECO MALDIVES,P00592019,ISMAIL AZMEEL,Registered,24-Apr-2019
807,,UNIFIED BUSINESS SOLUTIONS,P00582019,HUSSAIN MUSHRIF RASHEED,Registered,24-Apr-2019
808,,AMALDIVIAN INC,P00602019,ABDULLAH SAEED,Registered,24-Apr-2019
809,,DHOALHABU INVESTMENT,P00632019,Ahmed Ali Didi,Registered,28-Apr-2019
810,,AVIARY AND SONS,P00642019,ABDULLA ZAKI,Registered,28-Apr-2019
811,,ISLAND STARTUP,P00612019,HASSAN MANIK,Registered,25-Apr-2019
812,,MEDISTRATE,P00622019,ISLAND STARTUP LLP,Registered,25-Apr-2019
813,,ALPHA HOTELIERS,P00672019,THOHA RASHEED,Registered,30-Apr-2019
814,,ICOACH,P00652019,Saeed Athhar,Registered,30-Apr-2019
815,,GSEVEN HOLDINGS,P00682019,Zulaikha Ibrahim,Registered,02-May-2019
816,,BLUE ISLAS MALDIVES,P00662019,FATHIMATH SAMAAH,Registered,30-Apr-2019
817,,AUTOMORE,P00692019,SHUAIB HASSAN,Registered,09-May-2019
818,,VALPAHASE,P00702019,ABDULLA FAYAZ,Registered,09-May-2019
819,,READY TO WEAR,P00712019,MOHAMED WAHEED,Registered,12-May-2019
820,,RAAKANI BEACH,P00732019,MUSTHAFA HASSAN,Registered,19-May-2019
821,,AZ ZUMAR,P00742019,AHMED NAZIM,Registered,20-May-2019
822,,HAYATI MALDIVES,P00722019,Athif Ahmed,Registered,19-May-2019
823,,THAMANIYA BROTHERS,P00752019,HASSAN WAHEED,Registered,20-May-2019
824,,BEST BUY MOBILE,P00762019,ABDULLA SHAMEEL,Registered,21-May-2019
825,,WHITEDOTS,P00782019,ALI RIZNY,Registered,22-May-2019
826,,FILM PRODUCTION FIXERS,P00772019,ISMAIL AZMEEL,Registered,22-May-2019
827,,NOTCREATIVE MEDIA,P00792019,SHIFAAZ SHAMOON,Registered,23-May-2019
828,,QUBITS,P00802019,ALI NIHAD,Registered,27-May-2019
829,,BIX INVESTMENT,P00812019,ABDULLA AZIM,Registered,28-May-2019
830,,SPENZA,P00822019,HUSAM SAEED,Registered,30-May-2019
831,,MART TRADERS,P00832019,Ahmed Ibrahim,Registered,02-Jun-2019
832,,AARAAM INVESTMENT,P00842019,Faris Abdulla,Registered,02-Jun-2019
833,,OZEANSTUDIO,P00852019,AMINATH HANEEN SIDDEEG,Registered,03-Jun-2019
834,,AARAIF POULTRY FARM,P00862019,ABDULLA SALIH,Registered,10-Jun-2019
835,,LEXTRUS,P00872019,AHMED FARAAS SHAKIR,Registered,16-Jun-2019
836,,IMOO MALDIVES,P00892019,Moosa Shareef,Registered,17-Jun-2019
837,,MANH PARTNERS,P00902019,ALI NIFSAN,Registered,18-Jun-2019
838,,KAIXO,P00882019,AHMED SHIUS,Registered,17-Jun-2019
839,,HALUI INVESTMENT,P00912019,Ahmed Saneez,Registered,19-Jun-2019
840,,FN CONSULTANCY,P00932019,ALI FAYAZ,Registered,23-Jun-2019
841,,BEAUTY STREET,P00982019,ABDULLA NAFIZ,Registered,30-Jun-2019
842,,THANKYOU MALDIVES,P00942019,ABDULLA NAFIZ,Registered,25-Jun-2019
843,,TRANQUIL INVESTMENTS,P00952019,ALI JABEEN,Registered,26-Jun-2019
844,,CORAL UTOPIA,P00972019,AHMED ZAREEF,Registered,27-Jun-2019
845,,CARVEMEN,P00962019,ISMAIL HAMDHOON,Registered,27-Jun-2019
846,,BARBECUE HUT,P00992019,Hassan Nashid,Registered,30-Jun-2019
847,,KAVIA MALDIVES,P01112019,IBRAHIM RASHEED,Registered,08-Jul-2019
848,,PEACOCK CONSULTING,P01002019,ANIL ADAM,Registered,01-Jul-2019
849,,MALDIVES LEGAL BUREAU,P01022019,MOHAMED HALEEM,Registered,01-Jul-2019
850,,PRETTY QUEEN,P01012019,Aminath Sheneen,Registered,01-Jul-2019
851,,EPIC CONSULTING,P01052019,ATHIFA IBRAHIM,Registered,02-Jul-2019
852,,ZECH & CO.,P01032019,AMINATH HANAAN MOHAMED,Registered,02-Jul-2019
853,,SEAWORTH,P01042019,SANAULLAH IBRAHIM,Registered,02-Jul-2019
854,,GREEN DOOR HOLDINGS,P01072019,Akram Ali,Registered,03-Jul-2019
855,,ALIF LAW CHAMBERS,P01062019,MOHAMED ANIL,Registered,03-Jul-2019
856,,GRACIAS,P01082019,NASIF JAMEEL,Registered,04-Jul-2019
857,,MATAEM,P01102019,AHMED THAUZEEM MOHAMED,Registered,04-Jul-2019
858,,VELAA GUESTHOUSE,P01092019,SHAHEEN SHATHIR,Registered,04-Jul-2019
859,,PRO BOOKS,P01122019,MARIYAM NAZUWIYA,Registered,08-Jul-2019
860,,BIIVA,P01162019,IBRAHIM RASHEED,Registered,16-Jul-2019
861,,DAY ONE,P01132019,NASRULLA ABDUL HADY,Registered,10-Jul-2019
862,,POWER FORCE,P01242019,HASSAN LABEEG,Registered,23-Jul-2019
863,,MEDIOLOGY,P01152019,ABDULLA YAMIN,Registered,15-Jul-2019
864,,ZED H VENTURES,P01142019,MOHAMED HAMZEEL,Registered,15-Jul-2019
865,,KUREDHI TRADE,P01172019,MOOSA RASHEED,Registered,16-Jul-2019
