2,,Name,Number,ManagingPartner,State,RegisteredDate
102,,VAKEELU CHAMBERS L.L.P,P-0008/2014,MOHAMED HILMY,Registered,18-Feb-2014
103,,M.N. ASIX PARTNERS,P-0009/2014,MAUMOON ABDUL LATHEEF,Registered,19-Feb-2014
104,,MULTIPLEX EQUIPMENT AND SUPPLIERS PARTNERSHIP,P-0011/2014,DR. SHARAHU AHMED,Registered,05-Mar-2014
105,,ENERGY ENGINEERING ASSOCIATES,P-0013/2014,ZAID MOHAMED,Registered,06-Mar-2014
106,,WE COME PARTNERS,P-0012/2014,MISBAAH ABDUL HAKEEM,Registered,06-Mar-2014
107,,SHAFEEQ AND MASTHOOR L.L.P,P-0017/2014,AHMED SHAFEEG,Registered,25-Mar-2014
108,,HOT PAN PARTNERSHIP,P-0015/2014,MOHAMED NAZEEL,Registered,12-Mar-2014
109,,ISLAND CHAMBERS L.L.P,P-0016/2014,IBRAHIM ADAM,Registered,23-Mar-2014
110,,M.R PRO PARTNERS,P-0019/2014,MAUMOON ABDUL LATHEEF,Registered,31-Mar-2014
111,,ACCRUPLUS L.L.P,P-0021/2014,ABDULLA NISAM,Registered,16-Apr-2014
112,,CANOVADIA,P-0022/2014,HUSSAIN SHAREEF,Registered,17-Apr-2014
113,,ATOLLS BROTHERS,P-0040/2013,AHMED SHIHAM,Registered,26-Dec-2013
114,,GLOBETIZE PARTNERS,P-0026/2014,NAUSHAD AHMED,Registered,28-Apr-2014
115,,DO MO PARTNERS,P-0029/2014,ISMAIL NASEER,Registered,05-May-2014
116,,N.S.A PARTNERS,P-0028/2014,HASSAN NIYAZ,Registered,05-May-2014
117,,HI FIX PARTNERS,P-0030/2014,AHMED MUJTHABA,Registered,06-May-2014
118,,AMIZADE PARTNERS,P-0033/2014,SHIFAAUL AMEEN,Registered,15-May-2014
119,,ARROZ,P-0034/2014,AHMED SHUHAD,Registered,15-May-2014
120,,N.R EASY CHAMBERS,P-0035/2014,RUSHDULLA IBRAHIM,Registered,26-May-2014
121,,MOSUNA PARTNERS,P-0037/2014,DR IBRAHIM SUJAU,Registered,28-May-2014
122,,A.S.I.S PARTNERS,P-0036/2014,ATHIF HUSSAIN,Registered,27-May-2014
123,,S.M.D BROTHERS,P-0041/2014,ABDUL SAMAD ALI,Registered,03-Jul-2014
124,,ZUHURY & SHAHEER,P-0044/2014,MOHAMED AFZAM ZUHURY,Registered,14-Jul-2014
125,,S.Y.N INVESTMENTS,P-0046/2014,SAMAH AHMED,Registered,17-Jul-2014
126,,WOW INVESTMENT,P-0045/2014,ADAM SAEED,Registered,16-Jul-2014
127,,RED SAND MALDIVES PARTNERS,P-0047/2014,AREENA ABDUL RAHMAN,Registered,14-Aug-2014
128,,SKY FOUR,P-0048/2014,ALI LUGUMAN,Registered,20-Aug-2014
129,,ASTUTE FINANCIAL AND MANAGEMENT SERVICES,P-0049/2014,MOHAMED NABEEL,Registered,04-Sep-2014
130,,SOLUTION MALDIVES,P-0050/2014,IBRAHIM FAZEEL,Registered,08-Sep-2014
131,,REEF TAIL GENERAL PARTNERSHIP,P-0051/2014,MOHAMED SHAMEEM,Registered,14-Sep-2014
132,,BLUE FIN MALDIVES PARTNERS,P-0061/2014,MOHAMED RISHWAN,Registered,20-Oct-2014
133,,LEGAL AID,P-0052/2014,ABDULLA NASEER MOHAMED,Registered,16-Sep-2014
134,,MALLA TECHNOLOGY,P-0054/2014,MOHAMED NASEER,Registered,25-Sep-2014
135,,ACCTEC,P-0056/2014,AHMED SHAN,Registered,30-Sep-2014
136,,THE MOTHERSHIP PARTNERS,P-0057/2014,ABDULLA MEELADH NAEEM,Registered,13-Oct-2014
137,,COLOURPROFILE CO.,P-0058/2014,MOHAMED AZMEEL,Registered,13-Oct-2014
138,,THE LAWYERS ,P-0059/2014,IMAD SALIH,Registered,16-Oct-2014
139,,TRIBUNUS,P-0060/2014,ZAAID AHMED,Registered,19-Oct-2014
140,,CLARISSA PARTNERSHIP,P-0063/2014,FATHIMATH SHAMA MOHAMED,Registered,28-Oct-2014
141,,MH.SM PARTNERSHIP,P-0062/2014,AHMED HYDHER,Registered,21-Oct-2014
142,,SUM OF THREE PARTNERS,P-0064/2014,MOHAMED RIYAZ,Registered,29-Oct-2014
143,,NIC PARTNERSHIP,P-0065/2014,ABDULLA SABAH,Registered,04-Nov-2014
144,,HUREHI,P-0066/2014,ABOOBAKURU EASA,Registered,06-Nov-2014
145,,I-UXANI PARTNERS,P-0067/2014,MOHAMED IHSAAN,Registered,26-Nov-2014
146,,TACKLE MASTER,P-0068/2014,HUSSEIN ZAHIR,Registered,27-Nov-2014
147,,THE OCEANIC MERCHANTS,P-0069/2014,IBRAHIM NAJAAH,Registered,30-Nov-2014
148,,MINHAJ,P-0071/2014,MOHAMED MINHAAJ,Registered,18-Dec-2014
149,,PHANTASM PARTNERS,P-0072/2014,KHADHEEJA FASAHATH FUAD,Registered,24-Dec-2014
150,,PREMIUM HOLDING,P-0004/2015,ALI FAYAZ,Registered,07-Jan-2015
151,,A.A. ACCOUNTANCY,P-0001/2015,AHMED FAZEEL,Registered,05-Jan-2015
152,,R AND Z PARTNERS,P-0003/2015,AHMED RIFFATH,Registered,07-Jan-2015
153,,RAABOL VENTURE PARTNERS,P-0005/2015,,Registered,07-Jan-2015
154,,ROUND CUBE,P-0002/2015,MOHAMED MUSTHAFA,Registered,07-Jan-2015
155,,THE LITIGANTS,P-0006/2015,AHMED NAZIM ABDUL SATTAR,Registered,15-Jan-2015
156,,SKILLS ACADEMY,P-0007/2015,ISMAIL ASIM,Registered,15-Jan-2015
157,,EQUATOR SAIL,P-0008/2015,AHMED RASHEED ADAM,Registered,29-Jan-2015
158,,SPIRULA SOUVENIR PARTNERSHIP,P-0009/2015,ANAN SHAREEF,Registered,29-Jan-2015
159,,CLOUD SEVEN,P-0010/2015,IHUSAAN SHAREEF,Registered,01-Feb-2015
160,,VARIETY BIZZ PARTNERS,P-0011/2015,SHAMMAN ATHIF,Registered,03-Feb-2015
161,,SHAUZ PARTNERS,P-0014/2015,MARIYAM SHAZLA,Registered,18-Feb-2015
162,,SUNMIGILI PARTNERS,P-0013/2015,AHMED NAFIZ,Registered,16-Feb-2015
163,,OditStandard,P-0016/2015,ALI SHAREEF,Registered,19-Feb-2015
164,,YEY STUDIO,P-0015/2015,AHMED MAUROOF,Registered,19-Feb-2015
165,,MANTA INN PARTNERS,P-0018/2015,AHMED SAMEER,Registered,23-Feb-2015
166,,COFFEE TIME FRIENDS,P-0017/2015,AHMED ZAAMEEN,Registered,22-Feb-2015
167,,SGS SOFTWARE DEVELOPERS,P-0021/2015,ABDULSAMAD MOHAMED,Registered,03-Mar-2015
168,,CLOVER PARTNERS,P-0019/2015,ADAM ATHIF,Registered,01-Mar-2015
169,,CTL STRATEGIES,P-0020/2015,ALI NAEEM,Registered,03-Mar-2015
170,,ANAAN & SHAH MUSES ARTS PARTNERSHIP,P-0022/2015,YUSUF SHAH AHMED,Registered,04-Mar-2015
171,,WHITE SAND LODGE PARTNERS,P-0023/2015,AHMED ALI,Registered,04-Mar-2015
172,,RINDALY MALDIVES,P-0024/2015,HAMAD MOHAMED RASHEED,Registered,08-Mar-2015
173,,SEA SHELLS,P-0025/2015,HASSAN HABEEB,Registered,10-Mar-2015
174,,HUDHU AKIRI,P-0026/2015,IKRAM ALI,Registered,12-Mar-2015
175,,SIMPLY SWEET,P-0027/2015,THAUMYNA MOHAMED,Registered,15-Mar-2015
176,,GNVK,P-0028/2015,AHMED ZAYAN ABDULLA SALIH,Registered,17-Mar-2015
177,,PAPER FACTORY,P-0029/2015,IBRAHIM FAZEEL,Registered,17-Mar-2015
178,,CLOTH CLUB,P-0033/2015,JAUFAR ALI,Registered,23-Mar-2015
179,,COBIZ CONSULTANTS,P-0036/2015,Ali Nadheem,Registered,24-Mar-2015
180,, 	TRANQOU,P-0037/2015,IBRAHIM HUMAID,Registered,25-Mar-2015
181,,TUNE KEY AUTO PARTNERS,P-0039/2015,NADEEM MOHAMED,Registered,26-Mar-2015
182,,FOUR BROTHER'S PARTNER'S,P-0032/2015,SHIFAU AHMED,Registered,22-Mar-2015
183,,WAHEED AMIR AND WAHEED ASSOCIATES,P-0034/2015,IBRAHIM WAHEED,Registered,23-Mar-2015
184,,QUALITY MANAGEMENT SOLUTIONS,P-0035/2015,ISMAIL SHAHEEM,Registered,24-Mar-2015
185,,MOHAMED SHAFEEQ AND AISHATH RASHEED,P-0040/2015,MOHAMED SHAFEEQ,Registered,26-Mar-2015
186,,TRIPPING MALDIVES,P-0041/2015,HASSAN MOOSA,Registered,29-Mar-2015
187,,BIZGATE,P-0042/2015,MARIYAM NAZUWIYA,Registered,29-Mar-2015
188,,FRAGRANTIA PARTNERS,P-0043/2015,IBRAHIM MUSTHAFA,Registered,01-Apr-2015
189,,RED,P-0045/2015,MOHAMED YASHFAU ALI,Registered,02-Apr-2015
190,,FMC AUDITORS,P-0044/2015,AHMED ADAM,Registered,02-Apr-2015
191,,VACANZA IN AQUA PARTNERS,P-0047/2015,ABDULLA SIRAJ,Registered,07-Apr-2015
192,,N & A TRAVEL,P-0048/2015,AHMED NAZIM,Registered,08-Apr-2015
193,,FIDELIS LAW GROUP,P-0050/2015,SHABAB RASHEED,Registered,16-Apr-2015
194,,F AND N PARTNERSHIP,P-0051/2015,AHMED AIFAN,Registered,29-Apr-2015
195,,I.M.H TRADINGS,P-0054/2015,IBRAHIM HAMEED,Registered,04-May-2015
196,,RUA INVESTMENT,P-0055/2015,ABDUL LATHEEF SAEED,Registered,06-May-2015
197,,GPS,P-0058/2015,MOHAMED ZAEEM,Registered,10-May-2015
198,,ENROUTE,P-0057/2015,MOOSA ASHFAQ MOHAMED,Registered,10-May-2015
199,,NAIFARU STAR PARTNERS,P-0059/2015,AHMED YASIR,Registered,13-May-2015
