CUIN,Company Name,CRO Name,Company Kind,Auditor Name,Auditor Appointment Date
102385,RANLON ENERGY CONSTRUCTION (PVT.) LIMITED,Lahore,Private Companies,Azeemullah and Co (Chartered Accountants),23-Oct-17
80778,RANOP SOLUTIONS (PVT.) LIMITED,Lahore,Private Companies,A.CHUGHTAI AND CO,25-Oct-19
90047,RANRA ENTERPRISES (PVT.) LIMITED,Peshawar,Private Companies,ANWAR JAVED AND CO CHARTERED ACCOUNTANTS,12-Jan-16
50070,RANTEX (PVT.) LIMITED,Faisalabad,Private Companies,PARKER RANDAL A.J.S C.A,28-Oct-19
99013,RANTEX GLOBAL (PVT.) LIMITED,Faisalabad,Private Companies,PARKER RANDALL-A.J.S. CHARTERED ACCOUNTANTS,21-Apr-16
42382,RANYAL INDUSTRIES (PVT) LIMITED,Lahore,Private Companies,S. ZAFAR SHAH AND CO.,28-Oct-19
103355,RANYAL SYNTHETIC (PVT.) LIMITED,Lahore,Private Companies,Aamer Associates,28-Oct-19
91315,RANZ CORPORATION (PVT.) LIMITED,Islamabad,Private Companies,Asad Fouad Chartered Accountants,31-Oct-15
19572,RAO AGRO INDUSTRIES (PVT.) LIMITED,Multan,Private Companies,WAHEED LAW ASSOCIATES,31-Oct-07
22032,RAO ASSOCIATES (PVT.) LIMITED,Multan,Private Companies,KHALED MASOOD AND COMPANY,28-Dec-01
96065,RAO BROTHER (PVT.) LIMITED,Lahore,Private Companies,INAAM UL HAQ AND CO.,10-Nov-15
62577,RAO BUILDERS AND DEVELOPERS (PVT.) LIMITED,Karachi,Private Companies,SAJID AND COMPANY,31-Oct-13
30376,RAO ENGINEERING (PRIVATE) LIMITED,Lahore,Private Companies,HASSAN FARROQ AND CO.,31-Dec-97
115919,RAO FOREST FARMS (PRIVATE) LIMITED,Multan,Private Companies,Jameel and Co. Chartered Accountants,10-Feb-18
55559,RAO HAJJ & UMRAH SERVICES (PVT.) LIMITED,Multan,Private Companies,WAQAS AND COMPANY,31-Oct-15
97517,RAO NAZIR AHMED AND CO (PVT.) LIMITED,Islamabad,Private Companies,Chartered Associates,31-Oct-17
89624,RAO QADEER TRAVEL & TOURS (PVT.) LIMITED,Multan,Private Companies,Inaam ul Haq and Co,30-Aug-14
54342,RAO SUSTAINABLE DEVELOPMENT CONSULTING AND SERVICES (SMC-PVT.) LIMITED,Islamabad,Single Member Companies,SHUKRIA QASIM KHAN,31-Oct-17
12653,RAOJI (PRIVATE) LIMITED,Karachi,Private Companies,JAVEED MEHMOOD,31-Oct-15
67704,RAOJI CONSULTING ASSOCIATES (PRIVATE) LIMITED,Karachi,Private Companies,Javed Mehmood,10-Oct-15
18725,RAPHAEL'S CREATION (PRIVATE) LIMITED,Karachi,Private Companies,RAFIQ AND CO. CA,31-Oct-12
37664,RAPHIL MANAGEMENT SERVICES (PVT) LIMITED,Lahore,Private Companies,AZIM AND CO,27-Oct-19
85082,RAPID BUILDERS & DEVELOPERS (PVT.) LIMITED,Islamabad,Private Companies,Iqbal Yasir and Co,12-Sep-13
32322,RAPID CARGO (PVT) LTD,Lahore,Private Companies,M. A. CHAUDHRI AND CO. (ISLAMABAD - LAHORE - GUJRANWALA),28-Oct-19
65484,RAPID CONSTRUCTIONS (PVT.) LIMITED,Islamabad,Private Companies,Jawaid Anwar and Co,28-Oct-19
65684,RAPID ENGINEERING CO. (PRIVATE) LIMITED,Karachi,Private Companies,SHAKEEL UR REHMAN AND CO.,31-Oct-09
69579,RAPID FREIGHT SERVICES (PVT.) LIMITED,Karachi,Private Companies,NISAR UL HAQ AND CO,31-Oct-13
131689,RAPID HEALING MEDICAL SERVICES (PRIVATE) LIMITED,Islamabad,Private Companies,Tariq Hanif and Co.,28-Oct-19
84626,RAPID INNOVATION (PVT.) LIMITED,Karachi,Private Companies,Muhammad Farooque Dandia and Company,31-Oct-18
90642,RAPID LOGISTICS (PVT.) LIMITED,Karachi,Private Companies,Insight business Consutants,31-Oct-19
106775,RAPID MEDICAL RESPONDERS (PRIVATE) LIMITED,Lahore,Private Companies,SAEED UL HASSAN AND CO.,1-Apr-17
58866,RAPID MOVERS SECURITY SERVICES (PVT.) LIMITED,Lahore,Private Companies,MUHAMMAD USMAN SALIM,29-Oct-18
140632,RAPID PACK (PRIVATE) LIMITED,Lahore,Private Companies,MUHAMMAD AYUB AND CO,20-Nov-19
98674,RAPID SAFETY (PVT.) LIMITED,Karachi,Private Companies,Sajid and Co,26-Oct-19
67268,RAPID SECURITY GUARDS (PVT.) LIMITED,Karachi,Private Companies,SHAKIR BAIG AND CO,28-Oct-19
62612,RAPID SOLUTIONS INTERNATIONAL (PVT.) LIMITED,Islamabad,Private Companies,Masoom Akhtar AND Co.,31-Oct-12
41178,RAPID TECHNOLOCIES (PVT) LIMITED.,Lahore,Private Companies,AHMAD USMAN SHABIR AND CO. CA,5-May-00
82793,RAPID TRADING BUSINESS (PVT.) LIMITED,Lahore,Private Companies,AZIM AND CO.,28-Oct-19
68629,RAPID TRAVELS & TOURISM (PVT.) LIMITED,Lahore,Private Companies,CH. RIAZ AHMED (RIAZ CH. AND CO.),24-Jul-11
108574,RAPIDEV (PRIVATE) LIMITED,Islamabad,Private Companies,Shafqat Niazi and Co CAs,10-Sep-18
105203,RAPTAS ENGINEERING (PVT.) LIMITED,Islamabad,Private Companies,Usman Hassan and Co Chartered Accountants,30-Jan-17
95920,RAPTOR GLOBAL LOGISTICS (PVT.) LIMITED,Karachi,Private Companies,SM AND CO,28-Oct-19
99289,RAQAM INTERNATIONAL LABELS & PACKAGING (PVT.) LIMITED,Peshawar,Private Companies,GHAFOOR AND CO CHARTERED ACCOUNTANTS,28-Oct-19
147443,RAR BUSINESS SOLUTIONS (PRIVATE) LIMITED,Lahore,Private Companies,ALI AHMAD AND COMPANY CHARTERED ACCOUNTANTS,1-Apr-20
88360,RAR MULTIBIZ SERVICES (PVT.) LIMITED,Islamabad,Private Companies,"ANWAR JAVED WAQAR ALI, CHARTERED ACCOUNTANTS",25-Oct-18
36637,RARE BUILDERS (PVT) LIMITED,Lahore,Private Companies,SHAFIQ AND CO,28-Oct-17
54050,RARE INTERNATIONAL (PVT.) LIMITED,Lahore,Private Companies,INAAM UL HAQ AND CO. CA (LHR),28-Feb-06
122594,RAS AVIATION SERVICES (PRIVATE) LIMITED,Karachi,Private Companies,Rehmani and Co,20-Nov-18
111702,RAS CREDIT SERVICES (PRIVATE) LIMITED,Karachi,Private Companies,SANDHU AND CO,29-Oct-19
96495,RAS DEVELOPERS (PVT.) LIMITED,Islamabad,Private Companies,SAFDER SAAD AND CO,31-Oct-16
100790,RAS LLOYD (PVT.) LIMITED,Karachi,Private Companies,Farrukh Mateen And Company,22-Jul-16
70425,RAS PHARMACEUTICALS (PVT.) LIMITED,Multan,Private Companies,Waqas And Company,28-Oct-19
71687,RAS TRANS (PVT.) LIMITED,Lahore,Private Companies,LATIF AND CO,22-Feb-10
77896,RAS TRAVELS & TOURS (PVT.) LIMITED,Karachi,Private Companies,DAWOOD ASSOCIATES (CHARTERED ACCOUNTANTS),28-Oct-19
106777,RASAI TECHNOLOGIES (SMC-PVT.) LIMITED,Islamabad,Single Member Companies,WAQAS AND COMPANY,20-Jul-18
52923,RASAKAR CORPORATION (PVT.) LIMITED,Islamabad,Private Companies,"SHAHID TARIQ AND CO., C/A",31-Oct-06
71311,RASCH (PVT.) LIMITED,Karachi,Private Companies,SHARJEEL AYUB AND CO,31-Oct-19
