CUIN,Company Name,CRO Name,Company Kind,Auditor Name,Auditor Appointment Date
116247,3A ALLIANCE (PRIVATE) LIMITED,Karachi,Private Companies,AMIR HUSSAIN ASSOCIATES,29-Aug-18
93787,3A MARKETING (PVT.) LIMITED,Lahore,Private Companies,MAQBOOL HAROON SHAHID SAFDAR AND CO,4-Jun-15
134606,3A MAX TRADERS (PRIVATE) LIMITED,Karachi,Private Companies,Farrukh Mateen and Co,24-May-19
59554,3A PHARMACEUTICALS (SMC-PVT.) LIMITED,Lahore,Single Member Companies,MUHAMMAD MAROF MITHA,3-Nov-12
77087,3A WORLDWIDE (PVT.) LIMITED,Faisalabad,Private Companies,ZAHID JAMIL AND COMPANY CHARTERED ACCOUNTANTS,28-Oct-18
110911,3A-PK (PRIVATE) LIMITED,Karachi,Private Companies,G. S. ZUBERI,6-Sep-17
90911,3AMD INTERACTIVE (SMC-PVT.) LIMITED,Islamabad,Single Member Companies,WAQAS AND COMPANY,31-Oct-15
79292,3B DAIRY FARMS (PVT.) LIMITED,Islamabad,Private Companies,MUHAMMAD ASIF,31-Oct-14
119739,3B IMPEX (PRIVATE) LIMITED,Islamabad,Private Companies,Yasir and Co Chartered Accountants,9-Jul-18
99515,3B PACKAGING (PVT.) LIMITED,Lahore,Private Companies,Safdar Saad and Co. (Chartered Accountants),31-Oct-16
104287,3B POWERS (PVT.) LIMITED,Islamabad,Private Companies,MUHAMMAD ZULQURNAIN BASHIR,30-Oct-18
99527,3B TRADING CO. (SMC-PVT.) LIMITED,Lahore,Single Member Companies,INAAM UL HAQ CO,13-May-16
112186,3B WATER ENGINEERING & SERVICES (PRIVATE) LIMITED,Lahore,Private Companies,F KHALID AND CO,28-Oct-19
57278,3C CORPORATION (PRIVATE) LIMITED,Karachi,Private Companies,SALAHUDDIN AND CO,30-Sep-19
53331,3CS (PRIVATE) LIMITED,Karachi,Private Companies,SALAHUDDIN AND CO,30-Oct-11
104740,3D ENGINEERING CONSULTANTS (PVT.) LIMITED,Karachi,Private Companies,T.ALI AND CO. CHARTERED ACCOUNTANT,10-Jan-17
102267,3D ENTERTAINMENT CLUB (PVT.) LIMITED,Lahore,Private Companies,ALE IMRAN AND CO,21-Sep-16
