Sr. No.,CUIN,Company Name,Incorporation Date / Registration Date,CRO Name
4774,0026243,FAIR CARGO SERVICES (PVT) LTD,1/22/92,Lahore
4775,0038136,DAX MOSOUITO CONTROL SYSTEMS (MCS ) (PRIVATE) LIMITED,7/21/97,Lahore
4776,0030513,ELEGANT APPAREL (PVT) LTD,6/9/93,Lahore
4777,0025009,DANISH TEXTILE AND KNITWEAR INDUSTRIES (PVT)LIMITED,9/3/91,Lahore
4778,0039475,EHYA ALARZ (PVT) LTD,9/22/98,Lahore
4779,0041162,CAMPAIGNER INTERNATIONAL (PVT) LTD,4/24/00,Lahore
4780,0038926,CMEC ENERGY (PRIVATE) LIMITED,3/24/98,Lahore
4781,0019617,HYAT FRUIT PRODUCTS (PVT.) LIMITED,5/16/89,Lahore
4782,0028713,FAIZ-E-ALAM TRADERS (PRIVATE) LIMITED,10/24/92,Lahore
4783,0035344,FAISAL CONSULTANTS (PRIVATE) LIMITED,8/22/95,Karachi
4784,0037844,CAN-PAK INTERNATIONAL (PRIVATE) LIMITED,4/14/97,Lahore
4785,0018373,INTREPID INDUSTRIES (PVT) LTD,8/9/88,Lahore
4786,0041689,INDUSOL (PRIVATE) LIMITED,9/12/00,Lahore
4787,0018978,INDATEK COMPANY (PRIVATE) LIMITED,12/21/88,Lahore
4788,0019690,EEMAN IMPEX (PVT) LTD,5/30/89,Lahore
4789,0015264,"ELECTROSERVICE INDUSTRIES PVT LTD,",11/20/86,Lahore
4790,0019892,ENERGY MANAGEMENT CONSULTANTS (PRIVATE) LIMITED,7/5/89,Lahore
4791,0018423,INTERNATIONAL TABLEWARE (PRIVATE) LIMITED,8/21/88,Lahore
4792,0041508,JPJ (PVT) LIMITED,7/20/00,Lahore
4793,0010995,FATIMA MEDICAL CARE LIMITED,12/7/83,Lahore
4794,0018363,JASQO (PRIVATE) LIMITED,8/8/88,Lahore
4795,0040046,HASSAN MOVERS (PVT) LTD.,4/19/99,Lahore
4796,0030751,EMPEROR HOTEL (PVT) LTD,7/13/93,Lahore
4797,0010962,FOOD AID (PRIVATE)LIMITED,11/30/83,Lahore
4798,0025689,I. S. S. G (PVT)LTD.,11/15/91,Lahore
4799,0006050,CRESENT MARKETING SERVICES (PRIVATE) LIMITED,1/21/78,Lahore
4800,0002775,THE EASTERN PLASTER INDUSTRIES (PVT) LTD,11/5/68,Lahore
4801,0036180,DAWN PESTICIDES LIMITED,2/11/96,Lahore
4802,0025298,ESCO (PRIVATE) LIMITED,10/2/91,Lahore
4803,0037895,EXCEL COURIERS (PRIVATE) LIMITED,5/8/97,Lahore
4804,0024697,JAVED  NAZIR   BROTHERS (PVT) LTD,7/30/91,Lahore
4805,0010958,BABA AND BIAS (PVT) LIMITED,11/29/83,Lahore
4806,0037217,GLOVECO (PRIVATE) LIMITED,10/10/96,Lahore
4807,0023749,DAWN SERVICES (PVT) LTD,4/6/91,Lahore
4808,0072736,HI-FI TECHNOLOGIES (PVT.) LIMITED,6/7/10,Islamabad
4809,0042146,INFO POWER (PRIVATE) LIMITED,2/23/01,Lahore
4810,0040529,DATASTANDARDS (PRIVATE) LIMITED,9/21/99,Lahore
4811,0031025,H. M. IRSHAD INTERNATIONAL (PVT) LTD.,8/19/93,Lahore
4812,0018325,DAR ELECTRIC STORE (PVT)LTD,8/1/88,Lahore
4813,0011926,DAIRY SERVICES (PVT) LTD.,7/10/84,Lahore
4814,0081794,QA INTERNATIONAL (PVT.) LIMITED,11/22/12,Lahore
4815,0043136,WESCOM (PVT.) LIMITED,11/30/01,Islamabad
4816,0043131,SANKH COURIER SERVICES (PVT.) LIMITED,11/29/01,Islamabad
4817,0043148,S-NET FREIGHT PAKISTAN (PVT.) LIMITED,12/4/01,Islamabad
4818,0043141,PIONEER CONTRACT SERVICES (PVT.) LTD,12/3/01,Islamabad
4819,0005365,EASTERN MANAGEMENT SERVICES (E.M.S) (PRIVATE) LIMITED,7/28/76,Lahore
4820,0010277,ELITE ASSOCIATES ( PRIVATE ) LIMITED,4/11/83,Lahore
4821,0006228,EXPORIUM INTERNATIONAL  (PVT) LTD,4/30/78,Lahore
4822,0017525,DRAUGHT INTERNATIONAL (PVT) LTD,2/17/88,Lahore
4823,0004151,DANISH BROTHERS PRIVATE LIMITED,8/27/73,Lahore
4824,0024429,COTTON FRUIT (PRIVATE) LIMITED,6/27/91,Lahore
4825,0062497,XDS PAKISTAN (PRIVATE) LIMITED,8/9/07,Islamabad
4826,0033886,CREATIVE LINKERS (PVT) LIMITED,12/19/94,Lahore
4827,0032351,CRYSTALS POLYMERS ( PRIVATE ) LIMITED,4/12/94,Lahore
4828,0034688,CEDAR SCALES (PRIVATE) LIMITED,4/27/95,Lahore
4829,0034252,CASLOW ( PRIVATE ) LIMITED,2/12/95,Lahore
4830,0036037,CRYSTAL BIZ INTERNATIONAL (PRIVATE) LIMITED,1/14/96,Lahore
4831,0012411,PACIFIC SURVEYORS (PVT.) LIMITED,11/20/84,Karachi
4832,0004100,THE HINA EXPORT COMPANY (PVT) LTD.,7/18/73,Lahore
4833,0020338,HUSSAIN UMER SERVICES ( PRIVATE ) LIMITED,10/8/89,Lahore
4834,0038085,PROLINE INDUSTRIES (PVT.) LIMITED,7/2/97,Lahore
4835,0026779,EMPIRE RESOURCES ( PRIVATE ) LIMITED,3/29/92,Lahore
4836,0064122,K. W. HEALTH TECHNOLOGIES (PVT.) LIMITED,1/23/08,Lahore
4837,0039303,CIVIC TOBACCO COMPANY (PRIVATE) LIMITED,7/20/98,Lahore
4838,0039786,DIABLO ( PRIVATE ) LIMITED,1/8/99,Lahore
4839,0013417,FANTASIA (PRIVATE) LIMITED,8/22/85,Lahore
4840,0039445,FASHION FORCE (PVT) LIMITED,9/15/98,Lahore
4841,0042462,ENERCOAL (PRIVATE) LIMITED,5/22/01,Lahore
4842,0036624,FAIZ-E-MADINA HERBAL LABORATORIES (PVT) LTD,6/3/96,Lahore
4843,0003055,KARACHI METALS (PVT.) LIMITED,1/26/70,Karachi
4844,0013503,LATIF COTTON MILLS LIMITED,9/19/85,Karachi
4845,0041944,EURORIENT ENTERPRISES (PVT) LIMITED,12/12/00,Lahore
4846,0042223,FARYAL ASSOCIATES (PRIVATE) LIMITED,3/21/01,Lahore
4847,0000782,J. TYLER & CO. (PVT.) LTD.,12/3/55,Karachi
4848,0013130,SIAMCO (PVT)   LTD,6/12/85,Lahore
4849,0008898,SHIRKAT SADRIA ENTERPRISES (PVT) LTD,9/2/81,Lahore
4850,0039380,COUNTRY SERVICES (PRIVATE) LIMITED,8/22/98,Lahore
4851,0038874,GELATINE INTERNATIONAL (PVT) LIMITED,3/10/98,Lahore
4852,0031097,DIGNITY FOOTWEAR (PVT) LTD,9/4/93,Lahore
4853,0038293,SWITCH FINANCIAL SERVICES (PVT.) LIMITED,9/5/97,Islamabad
4854,0020430,COLONY GARMENTS (PRIVATE) LIMITED,10/24/89,Lahore
4855,0010786,GULF FARMS ( PRIVATE) LIMITED.,9/26/83,Quetta
4856,0034124,CLASSIC PACKGES (PVT) LTD,1/23/95,Lahore
4857,0063350,ACORN COMMUNICATIONS (PVT.) LIMITED,11/6/07,Islamabad
4858,0038820,CYBERNETIC CONTROLS (PVT) LTD.,2/21/98,Lahore
4859,0043392,SAJASH TRADING COMPANY (PVT.) LIMITED,2/25/02,Lahore
4860,0036751,COLOUR CHEM CORPORATION ( PRIVATE ) LIMITED,6/26/96,Lahore
4861,0038219,CMC POPLAR INDUSTRIES (PRIVATE) LIMITED,8/12/97,Lahore
4862,0029903,ELINVAR INDUSTRIES (PVT) LIMITED,3/16/93,Lahore
4863,0039994,ENKAY BASMA (PVT.) LIMITED,3/27/99,Lahore
4864,0011472,ENCORE INTERNATIONAL (PVT.) LIMITED,4/2/84,Lahore
4865,0039724,CONSUMER MARKETING NETWORK (PVT) LIMITED,12/15/98,Lahore
4866,0064123,RADIO HOT (PRIVATE) LIMITED,1/23/08,Quetta
4867,0016361,FAISAL ASSOCIATES (PVT) LTD,7/5/87,Lahore
4868,0039150,HOLIDAY TIME RESORTS ( PRIVATE ) LIMITED,5/30/98,Lahore
4869,0013871,KHAN TRADERS (PVT) LTD,12/22/85,Lahore
4870,0023835,ESTE (PRIVATE) LIMITED,4/15/91,Lahore
4871,0015711,HOUSEHOLD INTERNATIONAL (PVT) LIMITED,2/25/87,Lahore
4872,0012127,GLUEPAK INDUSTRIES (PRIVATE) LIMITED,9/2/84,Lahore
4873,0007958,SABA INTERNATIONAL (PRIVATE) LIMITED,7/31/80,Karachi
4874,0032959,ENERGEN PAKISTAN (PVT) LIMITED,7/12/94,Lahore
4875,0036783,HIGH GREEN AGRO (PVT) LTD,6/30/96,Lahore
4876,0040492,ALLIANCE CAPITAL PARTNERS (PVT.) LIMITED,9/7/99,Karachi
4877,0040938,AL-FAJR ESTABLISHMENT (PRIVATE)  LIMITED,2/4/00,Karachi
4878,0064200,ANAS & CO. (PVT.) LIMITED,1/30/08,Lahore
4879,0022771,QAMAR MODARABA (PRIVATE) LIMITED,11/18/90,Islamabad
4880,0021011,SALEECE (PRIVATE) LIMITED,1/24/90,Islamabad
4881,0022806,SUNDAYMARC (PRIVATE) LIMITED,11/24/90,Islamabad
4882,0020997,JAP FORGINGS (PVT) LTD.,1/23/90,Lahore
4883,0040692,CARGO FREIGHT SYSTEM (PVT) LIMITED,11/8/99,Lahore
4884,0039909,CHEEMA MARKETING (PVT) LTD,3/2/99,Lahore
4885,0068085,AL-TAWASAL (PVT.) LIMITED,11/14/08,Islamabad
4886,0062494,QAYUM FABRICS (PVT.) LIMITED,8/9/07,Lahore
